name,ft_active,ft_seq,ft_vert,ft_seq_index,ft_vert_index,ft_order,pt_active,pt_seq,pt_vert,pt_seq_index,pt_vert_index,pt_order,tag,file
Node | Form validation,TRUE,Week 5,Day 3,5,2,3,TRUE,Week 12,Halfday 2,12,1,0,,module-2/week-5/form-validation.md
Node | Basic Authentication & Sessions,TRUE,Week 5,Day 3,5,2,4,TRUE,Week 12,Halfday 2,12,1,1,,module-2/week-5/node-basic-authentication.md
LAB | Express basic auth - iterations 2 and 3,TRUE,Week 5,Day 3,5,2,5,TRUE,Week 12,Halfday 2,12,1,2,LAB,module-2/labs/lab-express-basic-auth.md
"Passport | Sign Up, Login, Logout",TRUE,Week 5,Day 3,5,2,6,TRUE,Week 12,Halfday 2,12,1,3,SELF_GUIDED,module-2/week-5/node-passport-login.md
LAB | Authentication with passport,TRUE,Week 5,Day 3,5,2,7,TRUE,Week 12,Halfday 2,12,1,4,SELF_GUIDED,module-2/labs/lab-authentication-with-passport.md
Passport | Security & Roles,TRUE,Week 5,Day 3,5,2,8,TRUE,Week 12,Halfday 2,12,1,5,SELF_GUIDED,module-2/week-5/node-passport-roles.md
LAB | Passport roles,TRUE,Week 5,Day 3,5,2,9,TRUE,Week 12,Halfday 2,12,1,6,SELF_GUIDED,module-2/labs/lab-passport-roles.md
Passport | Strategies and Social Login,TRUE,Week 5,Day 3,5,2,10,TRUE,Week 12,Halfday 2,12,1,7,SELF_GUIDED,module-2/week-5/node-passport-strategies.md
VCS | Collaboration with GitHub,TRUE,Week 5,Day 3,5,2,11,TRUE,Week 12,Halfday 2,12,1,8,,module-2/week-5/git-github-collaboration.md
Users to Movies&Celebrities - reinforcement of auth concept,TRUE,Week 5,Day 4,5,3,0,TRUE,Week 12,Halfday 3,12,2,0,LAB,module-2/week-5/node-auth-reinforcement.md
AXIOS | GET Request,TRUE,Week 5,Day 4,5,3,1,TRUE,Week 12,Halfday 3,12,2,1,,module-2/week-5/axios-get.md
Bonus: LAB | Financial data graphing,TRUE,Week 5,Day 4,5,3,2,TRUE,Week 12,Halfday 3,12,2,2,LAB,module-2/labs/lab-financial-data-graphing.md
"AXIOS | POST, PUT and DELETE request",TRUE,Week 5,Day 4,5,3,3,TRUE,Week 12,Halfday 4,12,3,0,,module-2/week-5/axios-post-put-delete.md
JSON Server,TRUE,Week 5,Day 4,5,3,4,TRUE,Week 12,Halfday 4,12,3,1,,module-2/week-5/json-server.md
